label,news
2,"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m ."
1,"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO ."
1,"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 ."
2,"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 ."
2,"The poorest index figure was given to Finnish power company Fortum , 4.5 ."
2,The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .
0,"According to Tyrv+Æinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy ."
0,The issuer is solely responsible for the content of this announcement .
0,"The company designs , manufactures and markets high-quality clothing , interior decoration textiles , bags and other accessories ."
2,18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .
1,Net cash flow from operations is expected to remain positive .
0,The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .
0,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .
0,"`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act ."
0,"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m ."
0,Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .
2,"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 ."
1,"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn ."
1,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier ."
0,"Additionally , retailers can use the same hardware across all tasks in stores and throughout the warehouse , providing substantial savings on support and infrastructure costs ."
0,"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals ."
0,It also recovers valuable raw material for Kemira 's water chemical production .
0,The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .
1,Orion Pharma 's operating profit increased by 42.5 % from 2004 .
2,UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .
0,At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .
2,Metso estimates the need for personnel reductions to amount to 25 people .
1,Orders received grew by 55 % year-on-year to EUR732m .
2,"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic ."
2,This is bad news for the barbeque season .
0,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .
0,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .
0,The first of the two project phases is expected to be completed by the end of 2012 .
0,"KONE , headquartered in Espoo , Finland , is one of the world 's leading elevator and escalator companies ."
1,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups ."
1,Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .
2,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .
1,Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .
0,Pertti Ervi is independent from the Company and its major shareholders .
1,Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .
0,"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said ."
0,"Also , a seven-year historic analysis is provided for these markets ."
2,"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur ."
0,"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions ."
0,`` BG Crane has been a strong partner for Hiab in Australia for many years .
0,The agreement is valid for four years .
1,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates ."
2,"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report ."
2,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 ."
1,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters ."
1,"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 ."
2,F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .
2,Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .
2,"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 ."
2,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri"
2,Sanoma News ' advertising sales decreased by 22 % during the year .
0,"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009"
0,`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .
1,"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 ."
0,"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced ."
2,"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports ."
2,"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations ."
2,L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .
1,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .
2,Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .
0,The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .
0,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. ."
0,"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 ."
2,"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o"
2,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 ."
1,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales ."
2,"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier ."
1,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .
2,"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points ."
0,"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes ."
2,Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .
0,"Neste Oil said it will build a biodiesel production facility in Rotterdam , the Netherlands , at an estimated cost of 670 million euros , naming France-based Technip as the project 's main contractor ."
2,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .
2,"In Sweden , there is an oversupply of pharmacies ."
1,Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .
2,"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 ."
0,Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .
1,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 ."
2,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates ."
1,The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .
0,Completion of the transaction is subject to a final agreement and a Due Diligence process .
0,Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .
0,"S&P has kept its `` sell '' rating , while Nordea and UBS have reaffirmed their `` buy '' recommendations ."
0,The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .
1,The value of the firm 's forestry holdings increased by SEK 3.6 bn .
1,According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .
0,"Cargotec 's share capital after the increase totals EUR 64,299,180 ."
2,"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year ."
0,"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added ."
2,"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet ."
0,"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services ."
0,FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .
2,The company initially estimated that it would cut up to 30 jobs .
1,"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year ."
0,"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor ."
0,"The acquisition is part of Suomen Helasto 's strategy to expand the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said ."
2,`` Those uncertainties cloud the long-term outlook . ''
1,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates ."
2,"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year ."
1,"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 ."
1,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .
0,"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 ."
1,"Operating profit surged to EUR21m from EUR106 ,000 ."
1,Return on capital employed rose by 4.8 percentage points to 19.6 % .
0,It is expected to be completed by the end of 2007 .
2,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions ."
1,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .
0,"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others ."
2,Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .
1,"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 ."
1,"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 ."
2,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) ."
2,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 ."
0,"Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 ."
1,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively ."
0,"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said ."
1,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas ."
2,"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 ."
0,Dragonfly Love is another video shot from start to finish using the Nokia N8 .
2,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .
1,The company 's market share is continued to increase further .
1,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .
0,"Finnish heat-retaining fireplaces maker Tulikivi Oyj said on August 29 , 2007 that its local tiled stoves and utility ceramics subsidiary Kermansavi Oy will merge into Tulikivi by means of absorption in order to streamline the latest 's corporate structure ."
0,"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said ."
1,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems ."
0,"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds ."
1,The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .
1,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .
2,"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before ."
0,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility ."
0,The first phase will be completed by the end of 2012 .
2,"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors ."
2,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .
0,"As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M ."
2,"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''"
0,"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business ."
2,"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn ."
2,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .
0,"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily ."
0,"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience ."
2,"Operating profit decreased to nearly EUR 1.7 mn , however ."
0,Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .
0,Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .
0,"The contract covers installation , training and start-up services ."
0,"Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings ."
1,"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market ."
2,Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .
1,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres ."
0,"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila ."
2,Net sales have been eaten by the weak US dollar .
1,"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market ."
0,"With this subscription , Fortum 's ownership in TGK-10 has increased to slightly over 76 % of shares and voting rights ."
2,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 ."
0,Central Europe is an important market area for Honka .
1,Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .
0,"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge ."
1,"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said ."
1,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 ."
2,Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .
0,"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 ."
2,"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 ."
2,In February the Elcoteq group sold its St Petersburg facility ; according to unconfirmed information the reason could have been supply problems because of the Russian customs service .
1,"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month ."
1,"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier ."
0,"Even so , Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado ."
0,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .
1,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m ."
1,"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security ."
1,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .
0,`` The issues identified by Stonesoft affect a range of content inspection technology .
2,Finnish M-real 's Kyro mill is starting negotiations to cut staff .
1,Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .
0,"Previously , the plant was expected to be completed by the end of 2008 ."
1,Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .
0,`` Rapala is excited to be partnering with RBFF and other industry leaders on this holiday promotion . ''
1,Finnish business software group AffectoGenimap Oyj said it had signed an agreement to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .
1,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 ."
2,"Operating profit for the 12-month period decreased from EUR5 .4 m while net sales increased from EUR62 .0 m , as compared to the financial year 2004 ."
1,The objective of the planned measures is to achieve significant savings in the next few years .
1,"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US ."
1,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn ."
1,Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .
2,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ."
2,He said he has been losing five families a month to the economy as many make alternative arrangements to save money .
1,"As the largest elevator market in the world , Chinese output of elevators continued to rise to 262,000 units in 2009 , up about 5 % yr-on-yr ."
2,"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month ."
1,Alma Media expects its net sales to increase as forecast previously .
1,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 ."
0,"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta ."
1,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .
0,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .
1,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .
0,"`` Thanks to my Nokia and Lulu , I am now proud to be a published His novel can be found here ."
1,"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier ."
2,Viking Line has canceled some services .
0,"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message ."
1,4G allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3G .
1,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth ."
0,"As earlier reported , Nokian Tyres is building a plant in the town of Vsevolozhsk in Russia 's Leningrad Region with an annual production capacity of 4 million tires ."
0,"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 ."
1,"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 ."
1,"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses ."
0,The new B shares carry the right to dividend and other shareholder rights with effect from today .
0,Halonen 's office acknowledged receiving the letter but declined comment .
2,"The total headcount reduction will be 50 persons , the company said ."
1,"KAUKO-TELKO LTD PRESS RELEASE 19.06.2007 AT 14.00 1 ( 1 ) Telko Group ( Kauko-Telko ) is expanding its strategic partnership with BP Industrial Lubricants & Services ( BP ILS ) by acquiring total ownership of BP 's Swedish retail company , Molub-Alloy AB ."
1,"The subscriptions increase Cargotec 's share capital by EUR 27,060 ."
2,Salonen added that data shows producers ' pulp inventories in North America are declining . '
0,Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .
1,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market ."
1,"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) ."
2,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation ."
0,"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has developed an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced ."
0,"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 ."
2,As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .
2,"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond"
0,The effect of the savings will be noticeable from the beginning of 2010 .
1,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s ."
1,"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process ."
2,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier ."
2,Earnings per share were at loss of EUR0 .24 .
